unit	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass	sqrt_germ	log_germ	sqrt_growth	log_growth	sqrt_b	log_b	sqrt_surv	log_surv	sqrt_bio	log_bio
A1	A	16	0.071168091	15.32586	27	0.103	4	1.204119983	0.266773483	-1.147714683	3.914825667	1.185424854	5.196152423	1.431363764	0.320936131	-0.987162775
A1	A	20	0.032311429	23.39715	35	0.0572	4.472135955	1.301029996	0.179753801	-1.490643835	4.837060058	1.369162959	5.916079783	1.544068044	0.239165215	-1.242603971
A1	A	14	0.079903077	15.59117	27	0.0858	3.741657387	1.146128036	0.282671323	-1.097436496	3.948565562	1.192878707	5.196152423	1.431363764	0.29291637	-1.066512712
A1	A	12	0.004731667	24.23828	34	0.1036	3.464101615	1.079181246	0.068787114	-2.324985827	4.923238771	1.384501798	5.830951895	1.531478917	0.321869539	-0.984640245
A1	A	20	0.014349429	21.97063	34	0.0323	4.472135955	1.301029996	0.119789102	-1.84316538	4.687283862	1.34184251	5.830951895	1.531478917	0.179722008	-1.490797478
A1	A	10	0.122056059	15.32586	27	0.1118	3.16227766	1	0.349365223	-0.913440657	3.914825667	1.185424854	5.196152423	1.431363764	0.33436507	-0.951558196
A1	A	12	0.147692133	11.68904	27	0.1986	3.464101615	1.079181246	0.384307342	-0.830642637	3.418923807	1.067778845	5.196152423	1.431363764	0.445645599	-0.702020756
A1	A	11	0.133157813	11.18782	21	0.1769	3.31662479	1.041392685	0.364907951	-0.875633346	3.344819876	1.04874547	4.582575695	1.322219295	0.420594817	-0.752272167
A1	A	17	0.0356549	14.98399	28	0.0728	4.123105626	1.230448921	0.188825051	-1.447880777	3.870915912	1.175627475	5.291502622	1.447158031	0.269814751	-1.137868621
A1	A	13	0.097716071	25.35146	34	0.0655	3.605551275	1.113943352	0.312595699	-1.010034004	5.035023337	1.404002976	5.830951895	1.531478917	0.255929678	-1.1837587
A1	A	12	0.118224467	15.32586	27	0.146	3.464101615	1.079181246	0.34383785	-0.927292635	3.914825667	1.185424854	5.196152423	1.431363764	0.382099463	-0.835647144
A1	A	16	0.063014182	16.46153	28	0.0949	4	1.204119983	0.251026258	-1.200561697	4.057281109	1.216470198	5.291502622	1.447158031	0.308058436	-1.022733788
A1	A	14	0.007466462	33.24286	35	0.011	3.741657387	1.146128036	0.086408692	-2.126885141	5.765662148	1.521698381	5.916079783	1.544068044	0.104880885	-1.958607315
A1	A	20	0.046116143	13.21372	21	0.0861	4.472135955	1.301029996	0.214746695	-1.336147023	3.635068087	1.1210251	4.582575695	1.322219295	0.293428015	-1.064996849
A1	A	16	0.060023091	13.97538	21	0.0968	4	1.204119983	0.244996104	-1.221681644	3.738365953	1.145363625	4.582575695	1.322219295	0.311126984	-1.014124643
