genet	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass
A2	A	17	0.0370929	NA	35	0.0762
A2	A	17	0.0529177	18.80792	28	0.0896
A2	A	14	0.053568462	18.80792	28	0.0717
A2	A	12	0.117156733	15.78282	28	0.1394
A2	A	20	0.028973714	26.87942	34	0.0188
A2	A	11	0.116353625	13.30515	28	0.2415
A2	A	20	0.012462429	18.81694	28	0.051
A2	A	12	0.091271667	16.46153	28	0.1116
A2	A	15	0.0078875	20.75335	35	0.0076
A2	A	9	0.1277925	14.98399	28	0.1663
A2	A	12	0.080119133	13.97538	21	0.1082
A2	A	12	0.067399667	13.30515	28	0.153
A2	A	14	0.058883385	15.56639	26	0.1234
A2	A	23	0.01836425	22.19074	28	0.0479
A2	A	13	0.058682857	19.02965	28	0.093
A2	A	20	0.032178571	21.21607	28	0.0657
A2	A	23	0.0200295	21.97063	34	0.0389
A2	A	13	0.063184714	13.09231	22	0.1302
A2	A	12	0.134353733	19.73097	28	0.1664
A2	A	20	0.011717286	23.33032	34	0.0492
A2	A	20	0.023656429	25.48077	34	0.0324
A2	A	10	0.105111176	13.9599	22	0.1286
A2	A	15	0.067996167	15.24598	28	0.1117
A2	A	9	0.107131167	19.5815	28	0.1912
A2	A	17	0.0370458	18.05296	28	0.071
A2	A	15	0.035964417	25.48077	34	0.0282
A2	A	17	0.0026463	19.33143	35	0.0691
A2	A	20	0.030862857	21.26221	34	0.0589
A2	A	15	0.023252167	13.97538	21	0.086
A2	A	20	0.020763857	23.58379	35	0.0503
A2	A	21	0.025319667	18.80792	28	0.0766
A2	A	13	0.068605643	13.21372	21	0.1325
A2	A	15	0.039054167	16.04144	28	0.0822
A2	A	17	0.018508	21.97063	34	0.0475
A2	A	16	0.023085091	18.95559	27	0.0538
A2	A	17	0.0432588	19.02965	28	0.0685
A2	A	14	0.076484385	11.20257	28	0.2022
A2	A	16	0.032630636	15.68337	28	0.0833
A2	A	15	0.049676167	17.22751	28	0.1045
A2	A	11	0.12610675	13.54928	27	0.1903
A2	A	13	0.07835	16.31069	28	0.0843
A2	A	16	0.024256545	18.80792	28	0.0728
A2	A	12	0.046917	20.32236	34	0.0722
A2	A	20	0.019382714	NA	35	0.0169
A2	A	20	0.012312143	NA	35	0.0087
A2	A	22	0.0128794	16.91647	28	0.0522
A2	A	20	0.019925286	21.32111	28	0.0666
A2	A	15	0.0359055	13.21372	21	0.1121
A2	G	12	0.077526267	10.44282	21	0.1831
A2	G	14	0.060005846	15.56585	35	0.0968
A2	G	20	0.063593	15.84588	26	0.1461
A2	G	20	0.037533286	24.41446	34	0.0615
A2	G	23	0.014377	NA	NA	0
A2	G	12	0.028097067	22.40026	34	0.1165
A2	G	23	0.024519	19.31801	28	0.056
A2	G	11	0.120700188	12.09228	21	0.237
A2	G	20	0.035280571	16.19307	28	0.0766
A2	G	13	0.077816357	21.32111	28	0.0935
A2	G	20	0.026917286	25.48077	34	0.0533
A2	G	12	0.1016134	18.80792	28	0.143
A2	G	17	0.042991	21.80454	34	0.0843
A2	G	14	0.082335	12.60872	21	0.1565
A2	G	20	0.025494429	18.05296	28	0.0613
A2	G	20	0.039890143	20.73658	28	0.0534
A2	G	15	0.039464333	18.80792	28	0.0839
A2	G	13	0.068335857	18.80792	28	0.0787
A2	G	24	0.016523667	22.19074	28	0.0519
A2	G	15	0.043282917	18.80792	28	0.0953
A2	G	11	0.106922688	12.16764	28	0.2063
A2	G	15	0.06962475	17.22751	28	0.1047
A2	G	14	0.154377615	30.96015	35	0.0293
A2	G	20	0.019482286	16.74136	27	0.0668
A2	G	20	0.023618429	18.88941	28	0.0478
A2	G	12	0.0812916	18.43308	28	0.0987
A2	G	21	0.015580167	16.01185	27	0.0627
A2	G	15	0.041941583	15.24598	28	0.0875
A2	G	17	0.0426247	13.54928	27	0.0865
A2	G	13	0.066661714	13.9709	26	0.1083
A2	G	16	0.047256818	15.59159	21	0.087
A2	G	20	0.036573286	15.68337	28	0.0815
A2	G	15	0.056065417	13.97538	21	0.0993
A2	G	17	0.0336873	18.05296	28	0.049
A2	G	17	0.0327009	19.68729	28	0.0673
A2	G	22	0.0189256	23.21065	29	0.0323
A2	G	15	0.058341417	18.577	29	0.0881
A2	G	12	0.103756333	15.24598	28	0.1109
A2	G	11	0.113272375	12.20349	26	0.218
A2	G	20	0.030725571	22.51872	28	0.0454
A2	G	14	0.069778923	17.62532	28	0.1118
A2	G	15	0.043785	16.01352	21	0.071
A2	G	24	0.016358667	NA	NA	0
A2	G	24	0.02447	15.37189	21	0.0683
A2	G	13	0.089175214	15.24598	28	0.1312
A2	G	12	0.093864133	13.54928	27	0.1199
A2	G	20	0.044602429	18.81694	28	0.0483
A2	G	23	0.01423125	17.62895	27	0.055
