genet	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass
C1	A	15	0.027979	21.21607	28	0.1039
C1	A	14	0.047972462	16.91647	28	0.0861
C1	A	20	0.021209857	18.35016	27	0.052
C1	A	24	0.014123667	18.81694	28	0.0548
C1	A	12	0.062797267	18.23478	27	0.0884
C1	A	20	0.029330857	18.15253	28	0.0675
C1	A	15	0.041007917	14.44035	27	0.0977
C1	A	14	0.062735846	16.04144	28	0.1268
C1	A	15	0.023097	16.91647	28	0.0562
C1	A	21	0.0166885	16.74136	27	0.0695
C1	A	17	0.0242365	24.69079	34	0.0534
C1	A	24	0.019771	26.87942	34	0.0263
C1	A	16	0.026025818	14.81738	26	0.0716
C1	A	20	0.01418	17.16875	27	0.0707
C1	A	21	0.018297	21.11885	28	0.0577
C1	A	21	0.015544833	27.70424	35	0.0273
C1	A	20	0.013548143	19.38889	28	0.0605
C1	A	20	0.028884857	18.55769	29	0.0487
C1	A	20	0.021457857	17.3698	27	0.0571
C1	A	17	0.016007	21.97063	34	0.0353
C1	A	15	0.026546333	16.5282	26	0.0905
C1	A	20	0.014075714	27.76166	35	0.038
C1	A	16	0.035394182	19.13509	35	0.1072
C1	A	22	0.0090396	21.97063	34	0.044
C1	A	15	0.016417417	20.7885	28	0.0617
C1	A	20	0.014605	21.97063	34	0.0354
C1	A	13	0.054649429	17.44435	35	0.0985
C1	A	16	0.024674182	19.67599	28	0.0655
C1	A	15	0.0345985	18.88941	28	0.0935
C1	A	22	0.0102148	18.47938	26	0.0507
C1	A	17	0.0298825	18.35016	27	0.0632
C1	A	11	0.070284125	16.5282	26	0.1041
C1	A	15	0.060104833	16.34294	27	0.0836
C1	A	20	0.017156143	18.88941	28	0.0455
C1	A	20	0.021625286	18.95559	27	0.0475
C1	A	20	0.014777286	19.02965	28	0.057
C1	A	20	0.02381	16.76904	28	0.0577
C1	A	10	0.103129529	15.84588	26	0.1138
C1	A	13	0.069566214	16.91647	28	0.0679
C1	A	24	0.01414	25.09992	27	0.0343
C1	A	12	0.066190133	16.84993	28	0.0622
C1	A	22	0.0092718	21.97063	34	0.0279
C1	A	14	0.037825615	11.95493	27	0.1529
C1	A	10	0.055644647	20.73394	28	0.1283
C1	A	12	0.0719678	17.5501	28	0.0989
C1	A	12	0.0632076	12.4887	22	0.09
C1	A	16	0.025942636	18.35016	28	0.0539
C1	A	15	0.040809333	17.16875	27	0.0528
C1	G	20	0.027200143	16.74136	27	0.0545
C1	G	14	0.031814462	15.84588	27	0.0895
C1	G	11	0.07353	16.25556	26	0.085
C1	G	15	0.03489	15.59117	27	0.0915
C1	G	20	0.028458714	16.19307	28	0.0483
C1	G	13	0.055034429	16.5282	26	0.0689
C1	G	21	0.016538167	18.15253	28	0.0499
C1	G	12	0.079177	13.21372	21	0.0764
C1	G	21	0.016485167	15.68337	28	0.0775
C1	G	11	0.101107	12.20349	26	0.1175
C1	G	23	0.0014875	25.48077	34	0.03
C1	G	20	0.020521	18.15253	28	0.0514
C1	G	20	0.019867571	21.97063	34	0.0485
C1	G	12	0.080478867	18.80792	28	0.1143
C1	G	21	0.014102833	17.44435	27	0.0684
C1	G	20	0.037099143	17.73461	26	0.085
C1	G	20	0.021839714	18.95559	27	0.0537
C1	G	13	0.053573143	16.34294	27	0.111
C1	G	21	0.015050167	21.17999	29	0.0354
C1	G	13	0.054680929	18.64242	26	0.0824
C1	G	15	0.03461475	NA	NA	0.0073
C1	G	20	0.024020429	17.62895	27	0.0582
C1	G	13	0.049592786	16.74136	27	0.0934
C1	G	15	0.037234833	16.34294	27	0.1029
C1	G	17	0.0274295	16.74136	27	0.0655
C1	G	20	0.013995286	18.81694	28	0.045
C1	G	13	0.048800357	16.01185	27	0.0859
C1	G	15	0.044311583	18.81694	28	0.0851
C1	G	16	0.027832727	21.97063	34	0.0462
C1	G	20	0.016923429	NA	35	0.0387
C1	G	20	0.017084143	14.00042	22	0.0063
C1	G	13	0.050891714	13.9709	26	0.1074
C1	G	15	0.03719775	19.02965	28	0.0543
C1	G	15	0.034123833	18.4965	27	0.0617
C1	G	13	0.040696571	16.34294	27	0.1062
C1	G	17	0.020121	16.92041	26	0.0704
C1	G	20	0.033742143	16.46153	28	0.0961
C1	G	20	0.033311	16.46153	28	0.0771
C1	G	14	0.049493231	15.59939	27	0.1148
C1	G	16	0.026628364	15.84588	26	0.0798
C1	G	13	0.037330857	16.92041	26	0.1003
C1	G	20	0.020494714	20.81985	34	0.0584
C1	G	20	0.025383429	17.44435	27	0.0661
C1	G	17	0.0354424	15.78282	28	0.1257
C1	G	21	0.009965833	20.73394	28	0.089
C1	G	12	0.091973333	12.20349	26	0.1503
C1	G	14	0.038972231	NA	35	0.0274
C1	G	11	0.091081375	18.17498	26	0.1011
