unit	cross	variable	Mean_fitness_z	cv
A1	A	days_to_germinate	0.438988095	24.70787279
A1	A	growth	0.349962286	71.54296444
A1	A	drought_b	0.304149178	27.90051642
A1	A	survival_time	0.719312602	19.10016816
A1	A	biomass	0.361690971	54.86589508
A1	G	days_to_germinate	0.464285714	23.2552051
A1	G	growth	0.384390299	61.57666056
A1	G	drought_b	0.217148764	24.66155961
A1	G	survival_time	0.633814103	17.2315743
A1	G	biomass	0.445032628	45.98223541
A2	A	days_to_germinate	0.455555556	23.6434887
A2	A	growth	0.311742964	71.90612759
A2	A	drought_b	0.375409893	20.84548483
A2	A	survival_time	0.568452381	14.35268774
A2	A	biomass	0.371307798	58.96257731
A2	G	days_to_germinate	0.519444444	24.25947328
A2	G	growth	0.336253701	60.9735367
A2	G	drought_b	0.355505915	22.46268421
A2	G	survival_time	0.468944099	13.19477073
A2	G	biomass	0.37194617	55.60180832
C1	A	days_to_germinate	0.510416667	22.60416224
C1	A	growth	0.309305698	65.54228474
C1	A	drought_b	0.440338032	18.05878661
C1	A	survival_time	0.555059524	10.78444808
C1	A	biomass	0.431389268	41.42271827
C1	G	days_to_germinate	0.470238095	21.50348043
C1	G	growth	0.354640359	60.23472194
C1	G	drought_b	0.339416902	14.66059857
C1	G	survival_time	0.483282675	10.4115297
C1	G	biomass	0.462895066	41.09499352
C2	A	days_to_germinate	0.413888889	28.48283561
C2	A	growth	0.27165909	68.69965535
C2	A	drought_b	0.415593538	19.48927699
C2	A	survival_time	0.541734861	11.90512697
C2	A	biomass	0.398379785	41.13308097
C2	G	days_to_germinate	0.461111111	25.49035552
C2	G	growth	0.2636158	59.41988553
C2	G	drought_b	0.339809134	19.20156306
C2	G	survival_time	0.459935897	12.52265344
C2	G	biomass	0.393860533	38.12873715
