genet	pollen_donor	unit	A_seed_wt	A_fruit_wt	G_avg_seed_wt	G_avg_fruit_wt	A_seed_count	G_avg_seed_count
A	1	A1	0.01488	0.07249	0.012166667	0.060923333	293	217.3333333
A	2	A2	0.01011	0.04235	0.011393333	0.047046667	274	259.3333333
B	1	B1	0.01363	0.07225	0.011656667	0.063703333	272	227
C	1	C1	0.01355	0.04967	0.013616667	0.059593333	294	306
C	2	C2	0.0105	0.0347	0.0081	0.030513333	289	191
D	1	D1	0.01399	0.07188	0.014716667	0.075156667	353	337.6666667
D	3	D3	0.00419	0.02374	0.005986667	0.036173333	77	190
E	1	E1	0.01065	0.04816	0.009195	0.046775	270	257.5
E	2	E2	0.00976	0.03875	0.00761	0.029415	253	222.5
E	3	E3	0.00807	0.03392	0.008223333	0.029193333	244	265.3333333
F	1	F1	0.01141	0.06038	0.00753	0.042833333	314	208
G	1	G1	0.01476	0.07013	0.007683333	0.055723333	359	176.6666667
G	2	G2	0.01046	0.04337	0.00685	0.04215	258	189.5
H	1	H1	0.0149	0.07032	0.01273	0.06061	418	352.6666667
H	2	H2	0.01276	0.05168	0.010785	0.041065	360	335.5
I	1	I1	0.00654	0.05235	0.007556667	0.046476667	127	139
J	1	J1	0.00853	0.04987	0.004025	0.035335	158	60
K	1	K1	0.0117	0.05483	0.010553333	0.05098	283	270.3333333
L	1	L1	0.00961	0.05328	0.007586667	0.050253333	228	180.3333333
M	1	M1	0.01031	0.05478	0.01042	0.053643333	238	252.6666667
N	2	N2	0.00901	0.04397	0.008075	0.03153	313	304
N	3	N3	0.01084	0.03953	0.00831	0.03766	403	288
N	4	N4	0.01205	0.04343	0.0102	0.037273333	327	321.3333333
O	1	O1	0.00975	0.04642	0.00804	0.042683333	189	160
O	3	O3	0.00387	0.01768	0.00591	0.026293333	76	139
O	4	O4	0.00245	0.02125	0.006603333	0.037556667	60	108
P	1	P1	0.00929	0.06273	0.010963333	0.06451	282	297.6666667
Q	1	Q1	0.0106	0.05273	0.00946	0.048135	305	268
R	1	R1	0.01592	0.06336	0.014963333	0.064786667	356	363
R	2	R2	0.01244	0.04795	0.01068	0.03845	280	261.3333333
S	1	S1	0.01097	0.05378	0.01122	0.054863333	310	293.6666667
T	1	T1	0.00965	0.05344	0.00878	0.04973	193	205.6666667
U	1	U1	0.01817	0.07009	0.00868	0.053043333	447	224.6666667
V	1	V1	0.0096	0.05049	0.007286667	0.036793333	201	199.6666667
W	1	W1	0.01216	0.05855	0.012833333	0.057053333	281	294.3333333
W	2	W2	0.00648	0.03212	0.011825	0.048265	122	263
X	1	X1	0.00682	0.043	0.006325	0.035835	194	170
Y	1	Y1	0.00563	0.03482	0.00464	0.03213	147	111.3333333
Y	2	Y2	0.00479	0.03601	0.004685	0.03063	149	138.5
Z	1	Z1	0.01218	0.0453	0.00902	0.03101	327	285
Z	2	Z2	0.01188	0.04271	0.011505	0.04053	303	308
Z	3	Z3	0.01281	0.04238	0.007075	0.02519	323	206
