unit	cone	cross	a	b	c
E3	1	G	3.800797599	19.24014478	1.081087674
E3	2	G	3.783683393	15.96968189	2.109840272
E3	3	G	3.950568065	18.27694695	3.538763049
E3	4	G	3.92327548	17.09967283	2.6650966
E3	5	G	3.716723069	16.78101213	2.592500466
E3	6	A	3.821860697	14.26924361	3.127833911
E3	7	G	3.716723069	16.78101213	2.592500466
E3	8	A	3.92327548	17.09967283	2.6650966
E3	9	A	3.716723069	16.78101213	2.592500466
E3	10	A	3.716723069	16.78101213	2.592500466
E3	11	A	3.716723069	16.78101213	2.592500466
E3	12	G	3.92327548	17.09967283	2.6650966
E3	13	G	3.909990744	17.48842259	1.330505756
E3	14	A	3.397139634	14.83223038	0.660323446
E3	15	A	3.716723069	16.78101213	2.592500466
E3	16	G	3.456603727	16.26390973	2.201033952
E3	17	A	3.716723069	16.78101213	2.592500466
E3	18	G	3.92327548	17.09967283	2.6650966
E3	19	A	3.92327548	17.09967283	2.6650966
E3	20	G	3.716723069	16.78101213	2.592500466
E3	21	A	4.058360424	14.38417384	3.741978769
E3	22	G	3.716723069	16.78101213	2.592500466
E3	23	G	4.056063861	17.23647114	4.502715676
E3	24	A	3.716723069	16.78101213	2.592500466
E3	25	G	3.92327548	17.09967283	2.6650966
E3	26	A	3.809977625	15.95969645	3.600792608
E3	27	G	3.968104528	16.18047808	4.514426057
E3	28	A	3.90485329	15.35052833	2.150712915
E3	29	G	3.792837998	15.20362227	3.875239499
E3	30	G	4.221170565	19.5191824	4.320114068
E3	31	A	3.716723069	16.78101213	2.592500466
E3	32	G	3.687924142	15.98033463	2.758868479
E3	33	A	3.495413046	14.33259021	3.405345161
E3	34	A	4.056063861	17.23647114	4.502715676
E3	35	A	3.716723069	16.78101213	2.592500466
E3	36	A	3.792837998	15.20362227	3.875239499
E3	37	G	3.92327548	17.09967283	2.6650966
E3	38	G	3.715013757	18.37008572	2.123284555
E3	39	A	3.687924142	15.98033463	2.758868479
E3	40	A	3.714799791	13.73367187	3.746155682
E3	41	G	3.69577268	17.20747788	1.115862571
E3	42	G	3.795834292	15.43625068	1.379486051
E3	43	A	3.687924142	15.98033463	2.758868479
E3	44	G	3.581971961	16.76076011	1.641784498
E3	45	G	3.92327548	17.09967283	2.6650966
E3	46	A	3.950568065	18.27694695	3.538763049
E3	47	A	3.92327548	17.09967283	2.6650966
E3	48	A	3.837841016	16.26933842	3.610672159
E3	49	A	3.43266629	18.51109509	1.411107829
E3	50	G	3.716723069	16.78101213	2.592500466
E3	51	G	3.92692362	15.30059633	4.731698909
E3	52	G	4.210450354	22.95398562	2.779310593
E3	53	G	3.810949325	17.1268372	1.909538984
E3	54	G	3.92327548	17.09967283	2.6650966
E3	55	G	4.001379175	16.28076431	3.581009193
E3	56	A	3.795834292	15.43625068	1.379486051
