unit	cone	cross	drought_b	survival_time	biomass	log_surv	sqrt_surv	log_biomass	sqrt_biomass
A1	NA	A	15.32586	27	0.103	1.431363764	5.196152423	-0.987162775	0.320936131
A1	NA	A	23.39715	35	0.0572	1.544068044	5.916079783	-1.242603971	0.239165215
A1	NA	A	15.59117	27	0.0858	1.431363764	5.196152423	-1.066512712	0.29291637
A1	NA	A	24.23828	34	0.1036	1.531478917	5.830951895	-0.984640245	0.321869539
A1	NA	A	21.97063	34	0.0323	1.531478917	5.830951895	-1.490797478	0.179722008
A1	NA	A	15.32586	27	0.1118	1.431363764	5.196152423	-0.951558196	0.33436507
A1	NA	A	11.68904	27	0.1986	1.431363764	5.196152423	-0.702020756	0.445645599
A1	NA	A	11.18782	21	0.1769	1.322219295	4.582575695	-0.752272167	0.420594817
A1	NA	A	14.98399	28	0.0728	1.447158031	5.291502622	-1.137868621	0.269814751
A1	NA	A	25.35146	34	0.0655	1.531478917	5.830951895	-1.1837587	0.255929678
A1	NA	A	15.32586	27	0.146	1.431363764	5.196152423	-0.835647144	0.382099463
A1	NA	A	16.46153	28	0.0949	1.447158031	5.291502622	-1.022733788	0.308058436
A1	NA	A	33.24286	35	0.011	1.544068044	5.916079783	-1.958607315	0.104880885
A1	NA	A	13.21372	21	0.0861	1.322219295	4.582575695	-1.064996849	0.293428015
A1	NA	A	13.97538	21	0.0968	1.322219295	4.582575695	-1.014124643	0.311126984
A1	NA	A	12.60872	22	0.1548	1.342422681	4.69041576	-0.810229044	0.393446311
A1	NA	A	12.4887	22	0.1559	1.342422681	4.69041576	-0.807153885	0.39484174
A1	NA	A	18.577	28	0.0489	1.447158031	5.291502622	-1.310691141	0.221133444
A1	NA	A	10.43747	27	0.1967	1.431363764	5.196152423	-0.70619564	0.443508737
A1	NA	A	16.01185	27	0.0965	1.431363764	5.196152423	-1.015472687	0.310644491
A1	NA	A	13.21372	21	0.0903	1.322219295	4.582575695	-1.04431225	0.300499584
A1	NA	A	NA	NA	NA	NA	NA	NA	NA
A1	NA	A	25.16965	35	0.0392	1.544068044	5.916079783	-1.406713933	0.197989899
A1	NA	A	14.12404	27	0.1817	1.431363764	5.196152423	-0.740645073	0.42626283
A1	NA	A	17.88923	34	0.0651	1.531478917	5.830951895	-1.186419011	0.255147016
A1	NA	A	12.60872	21	0.1004	1.322219295	4.582575695	-0.998266287	0.31685959
A1	NA	A	16.48412	27	0.0907	1.431363764	5.196152423	-1.042392713	0.301164407
A1	NA	A	12.07882	27	0.166	1.431363764	5.196152423	-0.779891912	0.407430976
A1	NA	A	12.60872	21	0.1159	1.322219295	4.582575695	-0.935916564	0.340440891
A1	NA	A	15.68337	28	0.0742	1.447158031	5.291502622	-1.129596095	0.272396769
A1	NA	A	17.16875	27	0.0696	1.431363764	5.196152423	-1.15739076	0.263818119
A1	NA	A	16.86905	29	0.0936	1.462397998	5.385164807	-1.028724151	0.305941171
A1	NA	A	14.21951	30	0.0992	1.477121255	5.477225575	-1.003488328	0.314960315
A1	NA	A	13.97538	21	0.0999	1.322219295	4.582575695	-1.000434512	0.316069613
A1	NA	A	16.12118	27	0.1468	1.431363764	5.196152423	-0.833273944	0.383144881
A1	NA	A	16.64906	28	0.1713	1.447158031	5.291502622	-0.766242637	0.413884042
A1	NA	A	25.16965	35	0.0466	1.544068044	5.916079783	-1.331614083	0.215870331
A1	NA	A	17.5501	28	0.0595	1.447158031	5.291502622	-1.225483034	0.243926218
A1	NA	A	16.01185	27	0.1011	1.431363764	5.196152423	-0.995248844	0.317962262
A1	NA	A	25.48077	34	0.0327	1.531478917	5.830951895	-1.485452247	0.180831413
A1	NA	A	18.55911	34	0.0531	1.531478917	5.830951895	-1.274905479	0.230434372
A1	NA	A	16.48412	27	0.0796	1.431363764	5.196152423	-1.099086932	0.28213472
A1	NA	A	NA	NA	NA	NA	NA	NA	NA
A1	NA	A	18.80792	28	0.0603	1.447158031	5.291502622	-1.219682688	0.245560583
A1	NA	A	25.66718	35	0.0306	1.544068044	5.916079783	-1.514278574	0.174928557
A1	NA	A	21.97063	34	0.0364	1.531478917	5.830951895	-1.438898616	0.19078784
A1	NA	A	17.22751	28	0.0665	1.447158031	5.291502622	-1.177178355	0.257875939
A1	NA	A	18.80792	28	0.0707	1.447158031	5.291502622	-1.150580586	0.265894716
A1	NA	G	19.02965	28	0.0395	1.447158031	5.291502622	-1.403402904	0.198746069
A1	NA	G	18.05296	28	0.0498	1.447158031	5.291502622	-1.302770657	0.223159136
A1	NA	G	14.00042	22	0.1299	1.342422681	4.69041576	-0.886390849	0.360416426
A1	NA	G	14.98399	28	0.1381	1.447158031	5.291502622	-0.859806321	0.371618084
A1	NA	G	15.86659	27	0.1296	1.431363764	5.196152423	-0.887394998	0.36
A1	NA	G	17.62532	28	0.125	1.447158031	5.291502622	-0.903089987	0.353553391
A1	NA	G	16.91647	28	0.0716	1.447158031	5.291502622	-1.145086978	0.267581763
